locode,name,country_code,latitude,longitude,port_size,max_vessel_size,channel_depth_m,cargo_depth_m,teu_thousands,zone_code,wpi_id,function,status,active
GRKMI,KÃ¡lymnos,GR,36.95,26.9833,Very Small,medium vessels,34.7,49.4,,EU-BLA,43260,1-------,AI,1
GRKRE,Kamares Sifnos,GR,36.9833,24.6667,,,,,,,,1-------,RQ,1
GRKSK,Kamiros Skala,GR,36.2667,27.8167,,,,,,,,1-------,AA,1
GRKAP,Kapsalion (Kythira),GR,36.15,23.0,,,,,,,,1-------,AI,1
GRKRM,Kardamaina Kos,GR,36.7833,27.15,,,,,,,,1-------,AA,1
GRKDM,KardÃ¡myla,GR,38.5333,26.1,,,,,,,,1-3-----,AA,1
GRKAG,Karkinagri Ikarias,GR,37.5167,26.0167,,,,,,,,1-------,AA,1
GRAOK,KÃ¡rpathos,GR,35.5,27.2333,,,,,,,,1--4----,AI,1
GRKST,Karystos,GR,38.0167,24.4167,,,,,,,,1-------,AI,1
GRKSP,Kassiopi Corfu,GR,39.7833,19.9167,,,,,,,,1-------,RQ,1
GRKSA,Kassiopis,GR,39.7833,19.9167,,,,,,,,1-3-----,RQ,1
GRKSJ,Kassos,GR,35.4167,26.9167,,,,,,,,1--4----,AI,1
GRKIS,Kastelli Kissamou,GR,35.5167,23.6333,Very Small,medium vessels,,42.1,,EU-BLA,43093,1-------,AI,1
GRKAS,Kastellorizou (ex MegÃ­sti),GR,36.15,29.6,,,,,,,,1-------,AI,1
GRKSI,Kastos Island,GR,38.5667,20.9167,,,,,,,,1-------,AA,1
GRKAK,Katakolon,GR,37.65,21.3167,Very Small,medium vessels,38.4,38.4,,EU-BLA,41880,1-3-----,AI,1
GRKTP,KatÃ¡pola,GR,36.8333,25.8667,,,,,,,,1-3-----,RL,1
GRKEI,KaterÃ­ni,GR,40.2667,22.5,,,,,,,,1-3-----,AA,1
GRKAH,KÃ¡to AchaÃ¯a,GR,38.15,21.55,,,,,,,,123-----,RL,1
GRKVA,KavÃ¡la,GR,40.9333,24.4,Small,medium vessels,34.7,42.1,,EU-BLA,42600,1-34----,AI,1
GRKEA,KÃ©a (Tzia),GR,37.65,24.3167,,,,,,,,1-------,AI,1
GRKEF,Kefalos Ko,GR,36.7333,26.9667,,,,,,,,1-------,AA,1
GRKER,Keramoti,GR,40.8667,24.7,,,,,,,,1-------,AI,1
GRKTS,KeratsÃ­nion,GR,37.9667,23.6,,,,,,,,1-3-----,RL,1
GRCFU,KÃ©rkira (Corfu),GR,39.6167,19.9167,Minor,medium vessels,42.1,53.0,,EU-BLA,41720,1--4----,AI,1
GRCSF,KhÃ³ra SfakÃ­on,GR,35.2,24.1333,,,,,,,,1-------,AI,1
GRKIO,Kiato,GR,38.0,22.75,,,,,,,,1-3-----,AA,1
GRKYM,KimÃ¡si,GR,38.8,23.5167,,,,,,,,1-------,AI,1
GRKIM,Kimi (KÃ½mi),GR,38.6333,24.1,,,,,,,,1-3-----,AI,1
GRKMS,KÃ­molos,GR,36.7833,24.5833,,,,,,,,1-------,AI,1
GRKIP,Kiparissia,GR,37.25,21.6667,,,,,,,,1-------,RQ,1
GRKLI,Klima,GR,39.1333,23.65,,,,,,,,1-------,AA,1
GRKIN,Koilas Ermionidos,GR,37.4167,23.1333,,,,,,,,1-------,AA,1
GRKNS,Kontias Limnou,GR,39.8333,25.15,,,,,,,,1-------,RQ,1
GRKPS,KopanÃ³s,GR,40.6333,22.1167,,,,,,,,1-3-----,RL,1
GRKRT,KÃ³rinthos,GR,37.9333,22.9167,,,,,,,,1-3-----,RL,1
GRKGS,Kos,GR,36.8667,27.25,Very Small,medium vessels,49.4,53.0,,EU-BLA,43250,1--4----,AI,1
GRKEM,Kosta Ermionidas,GR,37.3,23.1667,,,,,,,,1-------,AA,1
GRKOF,Koufonissia Kykladon,GR,36.9333,25.6,,,,,,,,1-------,AA,1
GRAON,Kounoupidiana,GR,35.5333,24.0833,,,,,,,,1-3-----,AM,1
GRKYL,KyllÃ­ni,GR,37.9333,21.15,,,,,,,,1-------,AI,1
GRKIM,KÃ½mi (Kimi),GR,38.6333,24.1,,,,,,,,1-3-----,AI,1
GRKYT,Kythnos,GR,37.3833,24.4,,,,,,,,1-------,AI,1
GRPTL,LÃ¡gos (PÃ³rto-LÃ¡go),GR,41.0167,25.1167,Very Small,medium vessels,53.0,49.4,,EU-BLA,42620,1-------,AI,1
GRPKK,Lakkion,GR,37.1333,26.85,Very Small,medium vessels,5.5,45.7,,EU-BLA,43280,1-------,RL,1
GRLAR,Lardos Rhodes,GR,36.0667,28.0333,,,,,,,,1-------,AA,1
GRLRY,Larymna,GR,38.5667,23.2833,Very Small,medium vessels,34.7,34.7,,EU-BLA,42415,1-------,AI,1
GRLAV,Laurium (Lavrion),GR,37.7167,24.0667,Very Small,medium vessels,49.4,49.4,,EU-BLA,42120,1-------,AI,1
GRLAV,Lavrion (Laurium),GR,37.7167,24.0667,Very Small,medium vessels,49.4,49.4,,EU-BLA,42120,1-------,AI,1
GRLEV,LefkÃ¡da (LefkÃ¡s),GR,38.8333,20.7,,,,,,,,1-------,AI,1
GRLEF,Lefkandi,GR,38.4167,23.6833,,,,,,,,1-------,RQ,1
GRLEV,LefkÃ¡s (LefkÃ¡da),GR,38.8333,20.7,,,,,,,,1-------,AI,1
GRLFK,LefkÃ­mmi,GR,39.4167,20.1,,,,,,,,1-------,AI,1
GRLND,LeonÃ­dion,GR,37.15,22.9,,,,,,,,1-------,AI,1
GRLRS,Leros,GR,37.1833,26.8,,,,,,,,1--4----,AI,1
GRLII,Limni,GR,38.7667,23.3167,,,,,,,,1-------,AA,1
GRLIA,Linaria,GR,38.85,24.5333,,,,,,,,1-------,AA,1
GRLDR,Lindos Rodou,GR,36.1,28.0833,,,,,,,,1-------,AA,1
GRLIN,Linoperamata Hrakliou,GR,35.35,25.05,,,,,,,,1-------,AA,1
GRLIP,LipsoÃ­,GR,37.2833,26.7667,,,,,,,,1-------,AI,1
GRLIX,Lixuri,GR,38.2,20.4333,,,,,,,,1-------,AI,1
GRLTR,Loutro Chanion,GR,35.2,24.0833,,,,,,,,1-------,RQ,1
GRM8L,MagoÃºla,GR,39.8167,22.0833,,,,,,,,1-------,RL,1
GRMGL,MagoÃºla,GR,38.0833,23.5167,,,,,,,,1-3-----,RL,1
GRMSA,Malessina,GR,38.65,23.2333,,,,,,,,1-------,AA,1
GRMKP,Marathokampos Samou,GR,37.7,26.7,,,,,,,,1-------,AA,1
GRMRM,Marmari,GR,38.05,24.3167,,,,,,,,1-------,AI,1
GRMXK,Mastichari Kos,GR,36.85,27.0667,,,,,,,,1-------,RQ,1
GRMTR,Mathraki Diapontioi Island,GR,39.7833,19.5167,,,,,,,,1-------,AA,1
GRMEG,MegÃ¡lon LivÃ¡dion,GR,37.15,24.4167,,,,,,,,1-------,RL,1
GRMGN,MeganÃ­si,GR,38.6667,20.75,,,,,,,,1-------,AI,1
GRMEN,Menidi,GR,39.0333,21.1167,,,,,,,,1-------,AA,1
GRMEL,MesolÃ³ngion,GR,38.3667,21.4333,Very Small,medium vessels,49.4,49.4,,EU-BLA,41800,1-------,AI,1
GRMSS,Messongis,GR,39.4667,19.9333,,,,,,,,1-3-----,RQ,1
GRMHI,Mesta Hiou,GR,38.2833,25.9333,,,,,,,,1-------,AI,1
GRMEA,Methana,GR,37.5833,23.55,,,,,,,,1-------,AA,1
GRMET,Methoni,GR,36.8167,21.7167,,,,,,,,1-------,AI,1
GRMYR,MÃ­rina,GR,39.8667,25.0667,,,,,,,,1-------,AI,1
GRMOL,Molyvos,GR,39.3667,26.15,,,,,,,,1-3-----,RL,1
GRMON,MonemvasÃ­a,GR,36.6833,23.05,,,,,,,,1-------,AI,1
GRMVO,MonÃ­ VatopedÃ­ou,GR,40.3,24.2,,,,,,,,1-------,RL,1
GRMDR,MoÃºdhros,GR,39.8667,25.2667,,,,,,,,1-------,AI,1
GRMOU,MoutsoÃºna,GR,37.0833,25.5833,,,,,,,,1-------,AA,1
GRMPO,Mpoukaris,GR,39.45,19.9833,,,,,,,,1-3-----,RQ,1
GRJMK,Mykonos,GR,37.45,25.3333,Very Small,large vessels,49.4,45.7,,EU-BLA,42905,1--4----,AI,1
GRMYL,Mylaki,GR,38.3833,24.0667,Minor,medium vessels,34.7,49.4,,EU-BLA,42340,1-------,AA,1
GRMRS,Myrties Kalymnou,GR,36.9833,26.9167,,,,,,,,1-------,RL,1
GRMYB,Myrtos Beach,GR,38.35,20.5333,,,,,,,,1-------,RQ,1
GRMJT,Mytilene,GR,39.1,26.55,Small,medium vessels,,42.1,,EU-BLA,42760,1--4----,AI,1
GRNAF,NÃ¡fplion,GR,37.5667,22.8,Very Small,medium vessels,49.4,49.4,,EU-BLA,42050,123-----,AI,1
GRNAS,Naoussa Parou,GR,37.1167,25.2333,,,,,,,,1-------,RQ,1
GRNPK,NÃ¡vpaktos,GR,38.4,21.8333,,,,,,,,1-------,RL,1
GRJNX,NÃ¡xos,GR,37.1,25.3833,Very Small,medium vessels,34.7,56.7,,EU-BLA,42980,1--4----,AI,1
GRNAR,NÃ©a ArtÃ¡ki,GR,38.5167,23.6333,,,,,,,,1-3-----,RL,1
GRNKA,NÃ©a KallikrÃ¡tia,GR,40.3167,23.0667,,,,,,,,1-3-----,RL,1
GRNKV,NÃ©a KarvÃ¡li,GR,40.9667,24.5167,,,,,,,,1-------,RL,1
GRNMA,NÃ©a MoudhaniÃ¡,GR,40.2333,23.2833,,,,,,,,1-------,AI,1
GRNPY,NÃ©a PlÃ¡yia,GR,40.2667,23.2,,,,,,,,1-------,RL,1
GRNST,NÃ©a StÃ­ra,GR,38.1833,24.2,,,,,,,,1-------,AI,1
GRNEA,Neapolis,GR,36.5,23.0667,,,,,,,,1-------,AI,1
GRKAR,NÃ©on KarlovÃ¡sion,GR,37.8,26.6833,Small,medium vessels,,53.0,,EU-BLA,42840,1-------,AI,1
GRNID,NidhrÃ­on,GR,38.7,20.7167,,,,,,,,1-------,AI,1
GRNIS,Nisiros,GR,36.6167,27.1333,,,,,,,,1-------,AI,1
GROIK,Oia Kyklades,GR,36.4667,25.3833,,,,,,,,1-------,AA,1
GRORE,Orei,GR,38.95,23.0833,,,,,,,,1-------,AI,1
GRPNT,Ãrmos PanÃ³rmou,GR,37.65,25.05,,,,,,,,1-------,RL,1
GRORO,Oropos,GR,38.3167,23.7833,,,,,,,,1-------,AI,1
GROTH,OthonoÃ­,GR,39.85,19.4,,,,,,,,1-3-----,AA,1
GROUR,OuranÃ³polis,GR,40.3167,23.9833,,,,,,,,1-------,AI,1
GRPME,Pachi,GR,37.9667,23.35,,,,,,,,1-------,RL,1
GRPEP,PalaiÃ¡ EpÃ­davros,GR,37.6333,23.15,,,,,,,,1-------,AI,1
GRPFA,PalaiÃ¡ FÃ³kaia,GR,37.7167,23.95,,,,,,,,1-3-----,RL,1
GRPCH,Paleochora,GR,35.2167,23.6667,,,,,,,,1-------,RQ,1
GRPSF,Paleohora Sfakion,GR,35.2,24.1333,,,,,,,,1-------,AI,1
GRPAO,PaloÃºkia,GR,37.9667,23.5333,Very Small,,38.4,42.1,,EU-BLA,42180,1-3-----,AI,1
GRPAR,PÃ¡rga,GR,39.2833,20.4,,,,,,,,1-------,RL,1
GRPAS,PÃ¡ros,GR,37.0833,25.15,,,,,,,,1--4----,AI,1
GRPMS,PÃ¡tmos,GR,37.3167,26.55,,,,,,,,1-------,AI,1
GRGPA,Patras,GR,38.2333,21.7167,Small,large vessels,45.7,34.7,,EU-BLA,41850,1--4----,AI,1
GRPAX,Paxi,GR,39.2,20.1833,,,,,,,,1-------,AI,1
GRPEL,PelasyÃ­a,GR,38.95,22.8333,,,,,,,,1-3-----,RL,1
GRPER,Perama,GR,37.9667,23.55,Small,large vessels,34.7,34.7,,EU-BLA,42210,1-------,AI,1
GRPGM,Perama Geras Mytilinis,GR,39.0333,26.5,,,,,,,,1-------,RQ,1
GRPRR,Perea,GR,40.5,22.9,,,,,,,,1-3-----,AA,1
GRPSK,Pessada Kefallinnias,GR,38.1,20.5833,,,,,,,,1-------,RQ,1
GRPEB,Petani Beach,GR,38.2667,20.3667,,,,,,,,1-------,RQ,1
GRPLV,Petra,GR,39.3333,26.1833,,,,,,,,1-------,AI,1
GRPRE,Petries Evvoias,GR,38.4,24.1833,,,,,,,,1-------,RQ,1
GRPTC,Petriti,GR,39.45,20.0,,,,,,,,1-3-----,RL,1
GRPYV,Peyki Evvoias,GR,39.0,23.2167,,,,,,,,1-------,RQ,1
GRPSE,Phserimos Dodekanisou,GR,36.9333,27.1333,,,,,,,,1-------,AA,1
GRPIR,Piraeus,GR,37.9333,23.6167,Major,large vessels,5.5,23.8,,EU-BLA,42230,1-------,AI,1
GRPIS,Pissaetos Ithakis,GR,38.35,20.6833,,,,,,,,1-------,RQ,1
GRPIT,Pitra,GR,36.6833,22.8333,,,,,,,,1-------,AA,1
GRALG,Plakias,GR,35.1833,24.3833,,,,,,,,1-------,AA,1
GRPIA,Platania,GR,39.1333,23.2667,,,,,,,,1-------,RQ,1
GRPTI,Plataria,GR,39.45,20.2833,,,,,,,,1-------,RQ,1
GRP5T,Platy,GR,40.6333,22.5333,,,,,,,,1-3-----,RL,1
GRPLG,Platygiali Etoloakarnanias,GR,38.4667,21.1,Small,,,53.0,,EU-BLA,42345,1-------,RQ,1
GRPLM,PlomÃ¡rion,GR,38.9833,26.3667,Very Small,medium vessels,5.5,,,EU-BLA,42780,1-3-----,RL,1
GRPTK,PolitikÃ¡,GR,38.5833,23.55,,,,,,,,1-------,AI,1
GRPLC,Polychnitos Lesvou,GR,34.1,26.1667,,,,,,,,1-------,RQ,1
GRPKE,Poros Kefallinias,GR,,,,,,,,,,1-------,AI,1
GRPTR,Poros Trizinias,GR,,,,,,,,,,1-------,AI,1
GRVTH,Port VathÃ½ (VathÃ½),GR,37.75,26.9833,Very Small,medium vessels,53.0,56.7,,EU-BLA,42850,1-------,AI,1
GRPHE,Porto Heli,GR,,,,,,,,,,1-------,AI,1
GRPOA,Potamos Antikithera,GR,35.8833,23.2833,,,,,,,,1-------,RQ,1
GRPRN,Prasonisi Rhodes,GR,35.8833,27.7667,,,,,,,,1-3-----,AM,1
GRPKI,Prassa Kimolos,GR,36.8167,24.5833,,,,,,,,1-3-----,AM,1
GRPVK,Preveza/Lefkas,GR,,,,,,,,,,1--4----,AI,1
GRPPI,Prinos Thassou,GR,40.75,24.5667,,,,,,,,1-------,RQ,1
GRDSD,ProsotsÃ¡ni,GR,41.1833,23.9667,,,,,,,,1-3-----,RL,1
GRPRO,PrÃ³ti,GR,40.95,24.0,,,,,,,,1----6--,RL,1
GRPSA,PsakhnÃ¡,GR,38.5833,23.6333,,,,,,,,1-------,RL,1
GRPAA,PsarÃ¡,GR,38.5333,25.5667,,,,,,,,1-------,AI,1
GRPTE,Pteleos,GR,39.0333,22.9833,,,,,,,,1-------,RQ,1
GRPLI,Pyli,GR,40.7667,21.0333,,,,,,,,1-------,RL,1
GRPYL,PÃ½los,GR,36.9,21.6833,Very Small,medium vessels,49.4,38.4,,EU-BLA,41910,1-3-----,RL,1
GRPYR,Pyrgos,GR,,,,,,,,,,1--4----,AI,1
GRPYT,PythagÃ³reion,GR,37.7,26.95,Very Small,medium vessels,49.4,49.4,,EU-BLA,42860,1-------,AI,1
